Citation_Key,Author,Year,Title
Rao2025361,"Rao, Logan and Tsaryk, Mary and Benhnini, Anwar and Raicu, Ioan",2025,CryptexLLM: How LLM Generalizability Forecasts High Volatility
Friday2025,"Friday, Ibanga Kpereobong and Mishra, Sasmita and Pati, Sarada Prasanna and Mishra, Debahuti",2025,A Transformer-Based Stock Trend Prediction with Sentiment Analysis of Relevant and Urgent Tweets
Herdany2025144,"Herdany, Andi Rifan Ghaffar and Oktavia, Tanty",2025,Analyzing User Experience in Indonesian Investment Platforms: a Hybrid Approach Using Sentiment Analysis and BERTopic Modeling
Ahire2024912,"Ahire, Vijaya and Borase, Swati",2024,Enhancing Stock Market Predictions with Social Media Sentiment and Multi-Headed Attention Mechanisms
Ahmed2024,"Ahmed, Rabbia and Abdul Rauf, Sadaf and Latif, Seemab",2024,Leveraging Large Language Models and Prompt Settings for Context-Aware Financial Sentiment Analysis
Kim2023,"Kim, Jihwan and Kim, Huisang and Choi, Sun-yong",2023,Forecasting the S&P 500 Index Using Mathematical-Based Sentiment Analysis and Deep Learning Models: A FinBERT Transformer Model and LSTM
Ayyappa2023643,"Ayyappa, Yalanati and Kumar, B. Vinay and Priya, S. and Akhila, Siddiboena and Reddy, Tamma Priya Vardhan and Goush, Shaik Mohammad",2023,Forecasting Equity Prices using LSTM and BERT with Sentiment Analysis
Pouromid2021,"Pouromid, Mohammadjalal and Yekkehkhani, Arman and Asghari Oskoei, Mohammadreza and Aminimehr, Amin",2021,ParsBERT Post-Training for Sentiment Analysis of Tweets concerning Stock Market
WOS:001516366800001,"Zhang, Jingren and Maidin, Siti Sarah and Dewi, Deshinta Arrova",2025,BHE plus ALBERT-Mixplus: A Distributed Symmetric Approximate Homomorphic Encryption Model for Secure Short-Text Sentiment Classification in Teaching Evaluations
WOS:001662012200001,"Khalil, Rashid",2026,AI driven sentiment analysis in financial markets: using transformer base models and social media signals for stock market predictions
Chen2026,"Chen, Qizhao and Kawashima, Hiroaki",2026,A novel sentiment correlation-based method with dual transformer model for stock price prediction
Daş2026,"Daş, Bihter and Dagdogen, Huseyin Alperen and Kaya, Muhammed Onur and Das, Resul",2026,A new hybrid approach combining transformer-based language models and graph neural networks for cryptocurrency forecasting
Fang202592,"Fang, Junyi and Liu, Xiaojian and Zhou, Minshuai",2025,Sentiment-Driven Nonlinear Relationship between Financial Market Emotion and Returns: Dynamic Adaptive Modeling Based on LLMs
Chiu2025,"Chiu, I. Chan and Hung, Mao-wei",2025,Finance-specific large language models: Advancing sentiment analysis and return prediction with LLaMA 2
Singh2025,"Singh, Vaibhav and Gaurav, Devottam and Sapna, R. and Moorthy, Usha",2025,"AI-Driven Crude Oil Trading: Integrating Market Sentiment, Machine Learning, and Risk Management"
Yadav2025,"Yadav, Sameer and Keswani, Sarika and Sengar, Alok Singh and Manchanda, Mahesh and Mohammed, Marwan Aziz and Saravanakumar, Rengaraj",2025,Historical Data Based Sentiment-Driven Stock Market Prediction Using a Hybrid BERT-LSTM Model
Du2025,"Du, Nanjiang and Zhao, Yida and Wang, Jintao and Zhu, Yicheng and Xie, Siyu and Yang, Luyao and Tong, Yiru and Xu, Shengzhe and Zhang, Wangying and Ta",2025,Enhancing Cryptocurrency Trading Strategies: A Deep Reinforcement Learning Approach Integrating Multi-Source LLM Sentiment Analysis
Kim2024626,"Kim, Wonseong and Sporer, Jan and Lee, Choong Lyol and Handschuh, Siegfried",2024,"Is Small Really Beautiful for Central Bank Communication? Evaluating Language Models for Finance: Llama-3-70B, GPT-4, FinBERT-FOMC, FinBERT, and VADER"
Gu202467,"Gu, Wenjun and Zhong, Yihao and Li, Shizun and Wei, Changsong and Dong, Liting and Wang, Zhuoyue and Yan, Chao",2024,Predicting Stock Prices with FinBERT-LSTM: Integrating News Sentiment Analysis
Han2024,"Han, Di and Guo, Wei and Chen, Han and Wang, Bocheng and Guo, Zikun",2024,LEST: Large language models and spatio-temporal data analysis for enhanced Sino-US exchange rate forecasting
Liu2024,"Liu, Wenjie and Ge, Yebo and Gu, Yuchen",2024,News-driven stock market index prediction based on trellis network and sentiment attention mechanism
Adelakun202421,"Adelakun, Najeem O. and Baale, A. A.",2024,SENTIMENT ANALYSIS OF FINANCIAL NEWS USING THE BERT MODEL
Yadav2024280,"Yadav, Varsha and Kiran Kumar, K.",2024,NiftyLLaMA: An open information extraction system integrated with sentiment analysis for Nifty-50 companies using LLaMa-2
Joshi20244896,"Joshi, Abhishek and Koda, Jahnavi Krishna and Hadimlioglu, Alihan",2024,"A Multi-Modal Transformer Architecture Combining Sentiment Dynamics, Temporal Market Data, and Macroeconomic Indicators for Sturdy Stock Return Forecasting"
Huang2024796,"Huang, Yuesheng and Lin, Renyi and Li, Jiawen and Li, Yiqi and Chen, Jiajia and Liang, Jiaqi and Feng, Guanyuan and Lv, Jujian",2024,A FinBERT Framework for Sentiment Analysis of Chinese Financial News
Kirtac20241,"Kirtac, Kemal and Germano, Guido",2024,Enhanced Financial Sentiment Analysis and Trading Strategy Development Using Large Language Models
Chowdhury2024410,"Chowdhury, Md Sajid Alam and Chowdhury, Mostak Mahmud and Shanto, Anik Mahmud and Murad, Hasan and Das, Udoy",2024,Fired_from_NLP at AraFinNLP 2024: Dual-Phase-BERT - A Fine-Tuned Transformer-Based Model for Multi-Dialect Intent Detection in The Financial Domain for The Arabic Language
Liu2024134041,"Liu, Chenghao and Arulappan, Arunkumar and Naha, Ranesh Kumar and Mahanti, Aniket and Kamruzzaman, Joarder and Ra, Inho",2024,"Large Language Models and Sentiment Analysis in Financial Markets: A Review, Datasets, and Case Study"
Ke2024812,"Ke, Zongwu and Zhang, Zeyu and Zhou, Long and Wu, Minqi and Zhang, Tao",2024,Qwen-Fin: Chinese Financial Sentiment Analysis Based on Fine-Tuned Large Language Model
Wu2023,"Wu, Sihan and Gu, Fuyu",2023,Lightweight Scheme to Capture Stock Market Sentiment on Social Media Using Sparse Attention Mechanism: A Case Study on Twitter
Liu2023,"Liu, Jinxian and Leu, Jenqshiou Shiou and Holst, Stefan",2023,Stock price movement prediction based on Stocktwits investor sentiment using FinBERT and ensemble SVM
Alasmari2023669,"Alasmari, Eman and El-Eliemy, Mohamed Hamdy and Alyoubi, Khaled Hamed and Alotaibi, Fahd S.",2023,Arabic Stock-News Sentiments and Economic Aspects using BERT Model
Kamal2022,"Kamal, Saurabh and Sharma, Sahil and Kumar, Vijay Rakesh and Alshazly, Hammam and Hussein, Hany S. and Martinetz, Thomas Markus",2022,Trading Stocks Based on Financial News Using Attention Mechanism
Jiménez-Zarco2022,"Jiménez-Zarco, Ana and Zhang, Xiangnan and Yu, Guanyuan and Chen, Yuexin and Rao, Shiyuan",2022,DeeBERT-S3WD: Three-Way Multigranularity Decision for Interactive Information Sentiment Analysis Research
Cheng202173,"Cheng, Wenjuan and Chen, Siyi",2021,Sentiment Analysis of Financial Texts Based on Attention Mechanism of FinBERT and BiLSTM
Morampudi2026,"Morampudi, Mahesh Kumar and Swain, Chinmaya Kumar and Prabhagar, M. Vijaya and Rengasamy, Sundar",2026,Analyzing the impact of the sentiment of Covid-19 news on bitcoin through transformer-based models
Ray2026468,"Ray, Jiban Kumar and Mim, Sheikh Sharfuddin and Logofátu, Doina",2026,Leveraging GPT-4 for Cryptocurrency News Sentiment Detection: A Multi-model Benchmarking
Wang20251955,"Wang, Renjie and Sun, Minghui and Wang, Limin",2025,From news to trends: a financial time series forecasting framework with LLM-driven news sentiment analysis and selective state spaces
Wang20251969,"Wang, Wensheng and Liu, Yuxi",2025,A Novel Framework for Agricultural Futures Price Prediction With BERT-Based Topic Identification and Sentiment Analysis
Sun2025,"Sun, Yongyong and Yuan, Haiping and Xu, Fei",2025,Financial sentiment analysis for pre-trained language models incorporating dictionary knowledge and neutral features
Mun2025,"Mun, Yejoon and Kim, Namhyoung",2025,Leveraging Large Language Models for Sentiment Analysis and Investment Strategy Development in Financial Markets
Pacheco2025301,"Pacheco, Clyden and Shukla, Aditya and D'Silva, Ashley and Fernandes, Celsa and Savant, Siddesh and Aswale, Shailendra",2025,Stock Market Prediction Using Lstm and Bert
Nguyen20251,"Nguyen, Binh Thanh and Chu, Tuan Thanh and Ha, Son and Nguyen, Anh Tuan",2025,Decoding market sentiment: the power of ChatGPT in explaining Bitcoin returns from X data
Dipura20251631,"Dipura, Ryan Wira Ariza and Maulana, Fairuz Iqbal and Yulianto, null",2025,Stock Market Trend Prediction for Next Day Direction using Sentiment Analysis with FinBERT
Nouri2025,"Nouri, Hicham and Nassera, Habbat",2025,From text to trade: harnessing the potential of generative AI for investor sentiment analysis in financial markets through large language models
Sheetal20252244,"Sheetal, R. and Aithal, Prakash K.",2025,Enhancing Financial Sentiment Analysis: Integrating the LoughranMcDonald Dictionary with BERT for Advanced Market Predictive Insights
Văduva2025421,"Văduva, Alin Gabriel and Andreescu, Anca Ioana",2025,Text Summarization and Sentiment Analysis Pipelines Using Large Language Models for Financial News
Akhila20251172,"Akhila, T. S. and Raj, J. Relin Francis and Kani Jesintha, D. and Santhana Krishnan, R. Santhana and Vinoth Kumar, V. and Sundaravadivel, P.",2025,Hybrid Deep Learning for International Trading: Integrating LSTM and Transformer Models
Meena2025845,"Meena, Durga R. and Maharajan, K.",2025,The Role of Sentiment Analysis and Transformer Models in Stock Market Price Forecasting
Wang20243120,"Wang, Meiyun and Izumi, Kiyoshi and Sakaji, Hiroki",2024,LLMFactor: Extracting Profitable Factors through Prompts for Explainable Stock Movement Prediction
Hajek202430,"Hajek, Petr and Novotný, Josef",2024,Beyond Sentiment in Stock Price Prediction: Integrating News Sentiment and Investor Attention with Temporal Fusion Transformer
Bathla20241,"Bathla, Gourav and Gupta, Sunil",2024,FinBERT and LSTM-based novel model for stock price prediction using technical indicators and financial news
Singh2024,"Singh, Harmanjeet and Malhotra, Manisha and Singh, Supreet and Sharma, Preeti and Prabha, Chander",2024,Design and Development of Artificial Intelligence Framework to Forecast the Security Index Direction and Value in Fusion with Sentiment Analysis of Financial News
Dsouza202497,"Dsouza, Lester David and Nasir, Jamal Abdul and Kamal, Muhammad Mohsin and Connolly, Lena Yuryna",2024,Leveraging Large Language Models for Predicting Stock Option Valuation and Financial Risk Mitigation
Hasan2023,"Hasan, Mehedi and Rahman, Md Tahmid and Alavee, Kazi Ahnaf and Zillanee, Abu Hasnayen and Uddin, Jia and Alam, Md Golam Rabilul",2023,Automated Sentiment Analysis for Web-Based Stock and Cryptocurrency News Summarization with Transformer-Based Models
Lu20233821,"Lu, Siyuan and Zhou, Chenchen and Xie, Keli and Lin, Jun and Wang, Zhongfeng",2023,Fast and Accurate FSA System Using ELBERT: An Efficient and Lightweight BERT
Girsang2023120530,"Girsang, Abba Suganda and Stanley, null",2023,Hybrid LSTM and GRU for Cryptocurrency Price Forecasting Based on Social Network Sentiment Analysis Using FinBERT
Yang2023279,"Yang, Hanlin and Ye, Chunyang and Lin, Xiaoyu and Zhou, Hui",2023,Stock Market Prediction Based on BERT Embedding and News Sentiment Analysis
Haryono202377132,"Haryono, Agus Tri and Sarno, Riyanarto and Sungkono, Kelly R.",2023,Transformer-Gated Recurrent Unit Method for Predicting Stock Price Based on News Sentiments and Technical Indicators
Kaplan2023324,"Kaplan, Himmet and Mundani, Ralf Peter and Rölke, Heiko and Weichselbraun, Albert",2023,CrudeBERT: Applying Economic Theory Towards Fine-Tuning Transformer-Based Sentiment Analysis Models to the Crude Oil Market
Kim20236912,"Kim, Gyeongmin and Kim, Minsuk and Kim, Byungchul and Lim, Heuiseok",2023,CBITS: Crypto BERT Incorporated Trading System
Ai2022167,"Ai, Hao and Liu, Ying and Fang, Jie and Rashid, Sheikh Faisal",2022,A Method with Universal Transformer for Multimodal Sentiment Analysis
Fernandez2022240,"Fernandez, Enrico and Anderies, Anderies and Winata, Michael Gilbert and Fasya, Fadly Haikal and Santoso Gunawan, Alexander Agung",2022,Improving IndoBERT for Sentiment Analysis on Indonesian Stock Trader Slang Language
Li20214663,"Li, Menggang and Li, Wenrui and Wang, Fang and Jia, Xiaojun and Rui, Guangwei",2021,Applying BERT to analyze investor sentiment in stock market
