id,citation_key,author,year,journal,country,study_type,quality_score,doi,llm_model,pretrained_or_finetuned,training_dataset_size,finetuning_approach,markets_studied,geographic_focus,time_period_covered,data_sources,sentiment_classification_type,sentiment_extraction_method,sentiment_features,lexicon_used,baseline_models,sample_size_texts,train_test_split,evaluation_protocol,primary_metric,metric_value,comparison_to_baseline,financial_outcome,statistical_significance,main_conclusion,best_performing_model,limitations_mentioned,future_work_suggested,extraction_notes
597,Han2024,"Han, Di and Guo, Wei and Chen, Han and Wang, Boche...",2024,International Review of Economics and Finance,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Liu2024,"Liu, Wenjie and Ge, Yebo and Gu, Yuchen",2024,Expert Systems with Applications,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Adelakun202421,"Adelakun, Najeem O. and Baale, A. A.",2024,Journal of Engineering and Technology for Industri...,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,Yadav2024280,"Yadav, Varsha and Kiran Kumar, K.",2024,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Joshi20244896,"Joshi, Abhishek and Koda, Jahnavi Krishna and Hadi...",2024,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Huang2024796,"Huang, Yuesheng and Lin, Renyi and Li, Jiawen and ...",2024,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Kirtac20241,"Kirtac, Kemal and Germano, Guido",2024,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Chowdhury2024410,"Chowdhury, Md Sajid Alam and Chowdhury, Mostak Mah...",2024,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,Liu2024134041,"Liu, Chenghao and Arulappan, Arunkumar and Naha, R...",2024,IEEE Access,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Ke2024812,"Ke, Zongwu and Zhang, Zeyu and Zhou, Long and Wu, ...",2024,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Wu2023,"Wu, Sihan and Gu, Fuyu",2023,Journal of Risk and Financial Management,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,Liu2023,"Liu, Jinxian and Leu, Jenqshiou Shiou and Holst, S...",2023,PeerJ Computer Science,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Alasmari2023669,"Alasmari, Eman and El-Eliemy, Mohamed Hamdy and Al...",2023,International Journal of Advanced Computer Science...,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,Kamal2022,"Kamal, Saurabh and Sharma, Sahil and Kumar, Vijay ...",2022,Mathematics,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,Jiménez-Zarco2022,"Jiménez-Zarco, Ana and Zhang, Xiangnan and Yu, Gua...",2022,Mathematical Problems in Engineering,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,Cheng202173,"Cheng, Wenjuan and Chen, Siyi",2021,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Morampudi2026,"Morampudi, Mahesh Kumar and Swain, Chinmaya Kumar ...",2026,Quality and Quantity,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Ray2026468,"Ray, Jiban Kumar and Mim, Sheikh Sharfuddin and Lo...",2026,Communications in Computer and Information Science,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Wang20251955,"Wang, Renjie and Sun, Minghui and Wang, Limin",2025,Journal of Intelligent Information Systems,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Wang20251969,"Wang, Wensheng and Liu, Yuxi",2025,Journal of Forecasting,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Sun2025,"Sun, Yongyong and Yuan, Haiping and Xu, Fei",2025,Natural Language Processing Journal,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Mun2025,"Mun, Yejoon and Kim, Namhyoung",2025,Journal of Theoretical and Applied Electronic Comm...,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Pacheco2025301,"Pacheco, Clyden and Shukla, Aditya and D'Silva, As...",2025,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Nguyen20251,"Nguyen, Binh Thanh and Chu, Tuan Thanh and Ha, Son...",2025,China Finance Review International,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Dipura20251631,"Dipura, Ryan Wira Ariza and Maulana, Fairuz Iqbal ...",2025,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Nouri2025,"Nouri, Hicham and Nassera, Habbat",2025,International Journal of Information Technology (S...,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Sheetal20252244,"Sheetal, R. and Aithal, Prakash K.",2025,Procedia Computer Science,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Văduva2025421,"Văduva, Alin Gabriel and Andreescu, Anca Ioana",2025,"Smart Innovation, Systems and Technologies",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Akhila20251172,"Akhila, T. S. and Raj, J. Relin Francis and Kani J...",2025,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,Meena2025845,"Meena, Durga R. and Maharajan, K.",2025,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Wang20243120,"Wang, Meiyun and Izumi, Kiyoshi and Sakaji, Hiroki",2024,Proceedings of the Annual Meeting of the Associati...,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,Hajek202430,"Hajek, Petr and Novotný, Josef",2024,IFIP Advances in Information and Communication Tec...,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,Bathla20241,"Bathla, Gourav and Gupta, Sunil",2024,International Journal of Economics and Business Re...,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Singh2024,"Singh, Adhiraj and Subramanian, Harish Venkata and...",2024,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Dsouza202497,"Dsouza, Lester David and Nasir, Jamal Abdul and Ka...",2024,IEEE International Conference on Data Mining Works...,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Hasan2023,"Hasan, Mehedi and Rahman, Md Tahmid and Alavee, Ka...",2023,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,Lu20233821,"Lu, Siyuan and Zhou, Chenchen and Xie, Keli and Li...",2023,IEEE Transactions on Signal Processing,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,Girsang2023120530,"Girsang, Abba Suganda and Stanley, null",2023,IEEE Access,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,Yang2023279,"Yang, Hanlin and Ye, Chunyang and Lin, Xiaoyu and ...",2023,Communications in Computer and Information Science,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Haryono202377132,"Haryono, Agus Tri and Sarno, Riyanarto and Sungkon...",2023,IEEE Access,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Kaplan2023324,"Kaplan, Himmet and Mundani, Ralf Peter and Rölke, ...",2023,International Conference on Enterprise Information...,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Kim20236912,"Kim, Gyeongmin and Kim, Minsuk and Kim, Byungchul ...",2023,IEEE Access,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,Ai2022167,"Ai, Hao and Liu, Ying and Fang, Jie and Rashid, Sh...",2022,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318,Fernandez2022240,"Fernandez, Enrico and Anderies, Anderies and Winat...",2022,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,Li20214663,"Li, Menggang and Li, Wenrui and Wang, Fang and Jia...",2021,Neural Computing and Applications,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924, WOS:001594086300009,"Ramathulasi, Thota and Rajasekharababu, M. and Sri...",2025,BOLETIM SOCIEDADE PARANAENSE DE MATEMATICA,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Lin2025181,"Lin, Yanqing",2025,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Yang2025,"Yang, Kun and Deng, Ruxin and Wei, Yunjie and Wang...",2025,Financial Innovation,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Gaur20253198,"Gaur, Shyama and Singh, Harshit and Chaudhary, Rij...",2025,International Journal of System Assurance Engineer...,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Liu2025,"Liu, Dongnan and Kim, Jong-min",2025,Analytics,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Nagendra202584,"Nagendra, B. V. and Kumar, Chandar S. and Simha, J...",2025,Journal of Trends in Computer Science and Smart Te...,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Yang2025,"Yang, Jie and Tang, Yiqiu and Li, Yongjie and Zhan...",2025,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Cheng2025533,"Cheng, Edward Yu Cheng and Chu, Hsuehting",2025,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Sarkar2025355,"Sarkar, Biswadeep and Shahid, Abdul",2025,Lecture Notes in Networks and Systems,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Dashtaki2025156600,"Dashtaki, Saeed Mohammadi and Hosseini Chagahi, Me...",2025,IEEE Access,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Putri2025292,"Putri, Irene Rahmi and Saputra, Muhardi and Fa'Rif...",2025,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Stefanova2025553,"Stefanova, Tsvetelina and Georgiev, Slavi G.",2025,Lecture Notes in Networks and Systems,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Dave2025229,"Dave, Yash and Varastehpour, Soheil and Shakiba, M...",2025,Lecture Notes in Networks and Systems,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Yamane2025228,"Yamane, Daichi and Kang, Xin and Matsumoto, Kazuyu...",2025,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Iacovides2024134,"Iacovides, Giorgos and Konstantinidis, Thanos and ...",2024,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Bhat202467,"Bhat, Rithesh and Jain, Bhanu",2024,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Fu202473,"Fu, Yihang and Zhou, Mingyu and Zhang, Luyao",2024,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Reka Onozo2024160529,"Reka Onozo, Livia and Viktor Arthur, Frigyes and G...",2024,IEEE Access,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,Liu2024,"Liu, Yuchen and Mikriukov, Daniil and Tjahyadi, Ow...",2024,Applied Sciences (Switzerland),,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Deng20231014,"Deng, Xiang and Bashlovkina, Vasilisa and Han, Fen...",2023,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Deng2023107,"Deng, Xiang and Bashlovkina, Vasilisa and Han, Fen...",2023,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,Zhao20211233,"Zhao, Lingyun and Li, Lin and Zheng, Xinhao and Zh...",2021,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,Mishev2020131662,"Mishev, Kostadin and Gjorgjevikj, Ana and Vodenska...",2020,IEEE Access,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Vallarino202521,"Vallarino, Diego",2025,Journal of Applied Economic Sciences,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,Ronald2024201,"Ronald, Valensius and Alfrido, Calvin and Isa, S. ...",2024,ICIC Express Letters,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,Colasanto202217507,"Colasanto, Francesco and Grilli, Luca and Santoro,...",2022,Neural Computing and Applications,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,Colasanto2022341,"Colasanto, Francesco and Grilli, Luca and Santoro,...",2022,Information Sciences,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934, WOS:000683646000002,Weng Xiaofeng and Zhao Jinghua and Jiang Chenxi an...,2024,COMPUTING,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
